time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2,174431;-0,0323;-0,0284;0,0544;0,069
2,175047;-0,0012;-0,0320;0,0663;0,074
2,181359;-0,0181;-0,0547;0,1351;0,147
2,185079;-0,0112;-0,0440;0,1133;0,122
2,189369;-0,0590;-0,0074;0,1015;0,118
2,193975;-0,0470;0,0096;0,0784;0,092
2,200773;-0,0542;0,0454;0,0297;0,077
2,205953;-0,0397;0,0142;0,0149;0,045
2,209875;-0,0109;0,0736;-0,0139;0,076
2,214541;-0,0250;0,0635;0,0408;0,080
2,220760;-0,0222;0,0795;0,0596;0,102
2,225721;-0,0267;0,0526;0,0737;0,094
2,230076;0,0212;0,0496;0,0782;0,095
2,233802;0,0330;0,0230;0,0469;0,062
2,240418;0,0091;0,0132;0,0776;0,079
2,245222;-0,0193;-0,0154;0,0224;0,033
2,252087;-0,0310;0,0465;-0,0158;0,058
2,253697;-0,0497;0,0341;0,0249;0,065
2,260909;-0,0586;0,0172;0,0273;0,067
2,265148;-0,0698;-0,0306;-0,0154;0,078
2,270475;-0,0716;0,0217;-0,0434;0,086
2,272728;-0,0496;0,0332;-0,0236;0,064
2,279340;-0,0208;-0,0051;-0,0612;0,065
2,290096;-0,0066;0,0091;-0,0773;0,078
2,291570;-0,0280;0,0019;-0,0695;0,075
2,292859;-0,0518;0,0234;-0,0502;0,076
2,305488;-0,0305;0,0684;-0,0477;0,089
2,306792;-0,0189;0,0490;-0,0454;0,069
2,307333;-0,0027;0,0202;-0,0170;0,027
2,312520;0,0061;0,0012;-0,0220;0,023
2,317428;0,0175;0,0227;0,0395;0,049
2,322561;-0,0333;0,0251;0,0506;0,066
2,328473;-0,0291;0,0154;0,0832;0,089
2,335161;-0,0179;-0,0560;0,1346;0,147
2,338790;0,0311;-0,1196;0,1712;0,211
2,345366;0,1010;-0,1637;0,2291;0,299
2,352511;0,1893;-0,2481;0,2228;0,383
2,354088;0,3443;-0,4221;0,0888;0,552
2,358553;0,4641;-0,6376;0,0184;0,789
2,364243;0,1301;-0,3529;0,2531;0,453
2,368969;-0,0900;-0,1232;0,3297;0,363
2,373938;-0,2806;0,0736;0,2468;0,381
2,379060;-0,4114;0,2355;0,1194;0,489
2,390027;-0,3617;0,2680;-0,0667;0,455
2,392260;-0,2556;0,2553;-0,1543;0,393
2,392919;-0,1073;0,1906;-0,2583;0,339
2,398142;0,0167;0,0460;-0,2644;0,269
2,406834;0,1167;-0,0569;-0,2921;0,320
2,408419;0,3552;-0,2917;-0,4407;0,637
2,412056;0,1114;-0,1779;-0,3838;0,437
2,418216;-0,1679;-0,0554;-0,2396;0,298
2,423858;-0,2578;0,1278;0,0813;0,299
2,428331;-0,1660;0,0221;0,2783;0,325
2,436257;0,0147;-0,0684;0,3833;0,390
2,438683;0,0596;-0,1131;0,4326;0,451
2,445155;0,0942;-0,1647;0,3988;0,442
2,448451;0,2352;-0,1899;0,2136;0,370
2,452468;0,2950;-0,1794;0,0018;0,345
2,457032;0,0679;-0,0858;-0,4599;0,473
2,463758;-0,2491;0,0785;-0,8541;0,893
2,468930;-0,2708;0,1992;-0,9731;1,030
2,472943;-0,2611;0,3027;-0,7216;0,825
2,477547;-0,2581;0,3344;-0,3872;0,573
2,481908;-0,2122;0,2708;-0,1908;0,393
2,488200;-0,0809;0,2218;-0,0383;0,239
2,492629;-0,0056;0,1471;0,1367;0,201
2,498181;-0,0621;0,0635;0,3410;0,352
2,504568;-0,1312;0,0421;0,5342;0,552
2,506300;-0,1680;0,0541;0,5431;0,571
2,512298;-0,1725;0,1655;0,5022;0,556
2,518936;-0,1184;0,1644;0,3997;0,448
2,521093;-0,0985;0,1324;0,2601;0,308
2,527640;0,0609;0,0722;0,1333;0,163
2,531698;0,1884;0,0625;0,0288;0,201
2,536915;0,2678;0,0552;0,0323;0,275
2,543600;0,2783;0,0692;-0,0378;0,289
2,548289;0,2892;0,1187;-0,1046;0,330
2,551601;0,2863;0,1535;-0,1587;0,362
