time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2.490609;0.2422;-0.1464;0.1248;0.309
2.494210;0.2437;-0.2109;-0.1387;0.351
2.500122;0.3641;-0.2082;-0.3290;0.533
2.505949;0.4841;-0.1815;-0.4615;0.693
2.510396;0.5325;-0.1072;-0.5324;0.761
2.515082;0.5433;-0.0330;-0.5995;0.810
2.521761;0.4981;0.0174;-0.6011;0.781
2.524590;0.3544;0.0250;-0.5235;0.633
2.530341;0.2742;0.0378;-0.4241;0.506
2.534375;0.1477;0.0223;-0.3316;0.364
2.539346;0.1555;-0.0213;-0.1743;0.235
2.544307;0.0972;-0.0834;-0.0616;0.142
2.550571;0.1108;-0.1068;-0.0783;0.173
2.555218;0.0819;-0.1633;-0.1186;0.218
2.560136;0.0295;-0.1812;-0.1733;0.252
2.564447;0.0009;-0.1229;-0.2469;0.276
2.571367;0.0340;-0.0555;-0.2681;0.276
2.574563;0.1284;-0.0171;-0.3086;0.335
2.579188;0.2601;-0.0359;-0.2589;0.369
2.584021;0.2864;-0.0021;-0.2293;0.367
2.596067;0.3416;0.0174;-0.2433;0.420
2.597850;0.3115;0.0037;-0.1771;0.358
2.599091;0.2299;0.0140;-0.1453;0.272
2.615561;0.1401;-0.0040;-0.3805;0.405
2.617864;0.2999;0.0979;-2.5544;2.574
2.619195;-0.0822;0.0336;-1.0763;1.080
2.620266;-0.3241;-0.0204;-0.0392;0.327
2.623879;-0.4934;-0.0694;0.6053;0.784
2.629414;-0.5723;-0.0520;0.9324;1.095
2.634106;-0.5285;-0.0068;1.1021;1.222
2.639494;-0.4392;0.0562;1.1873;1.267
2.643439;-0.2994;0.1085;1.1272;1.171
2.647890;-0.2279;0.1217;0.9701;1.004
2.654272;-0.1910;0.1057;0.8497;0.877
2.658763;-0.1410;0.0562;0.6888;0.705
2.664005;-0.1254;0.0259;0.5110;0.527
