time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2.568982;-0.0297;-0.0046;0.0132;0.033
2.575862;-0.0544;-0.0306;-0.0055;0.063
2.578773;-0.0645;-0.0303;-0.0168;0.073
2.585108;-0.0794;-0.0656;-0.0402;0.111
2.589257;-0.0728;-0.0483;-0.0348;0.094
2.594172;-0.1210;-0.0717;-0.0269;0.143
2.598847;-0.1047;-0.0473;-0.0097;0.115
2.606021;-0.0764;-0.0350;-0.0093;0.085
2.615866;-0.0818;-0.0726;-0.0159;0.110
2.617558;-0.0560;-0.0554;-0.0056;0.079
2.619784;-0.0350;-0.0501;0.0069;0.061
2.634914;-0.0023;-0.0614;-0.0591;0.085
2.636300;-0.0601;-0.0418;-0.0818;0.110
2.636800;-0.0815;-0.0579;-0.0759;0.125
2.638431;-0.1120;-0.0454;-0.0484;0.130
2.644512;-0.1139;-0.0401;-0.0403;0.127
2.649351;-0.1156;-0.0563;-0.0368;0.134
2.653467;-0.1078;-0.0722;-0.0121;0.130
2.658541;-0.0811;-0.0524;-0.0209;0.099
2.665037;-0.1044;-0.0542;-0.0296;0.121
2.670443;-0.1225;-0.0108;-0.0453;0.131
